S/N,HS Code,HS Description,HS Qty Unit,Competent Authorities - Controlling by HS Code,,,CA Product Code,CA Product Description,CA Product Qty Unit,Competent Authorities - Controlling by Product Code,,,Duty Rates,
74,01062000,LIVE REPTILES (NMB),NMB,"CIT
ORF
L&A","CIT
ORF
L&A","CIT
L&A",CRP2NNASA,SAMAR SPITTING COBRA (NAJA SAMARENSIS),HDS,CIT,CIT,CIT,-,-
75,01062000,LIVE REPTILES (NMB),NMB,"CIT
ORF
L&A","CIT
ORF
L&A","CIT
L&A",CRP2NNASP,BLACK SPITTING COBRA (NAJA N SPUTATRIX ),HDS,CIT,CIT,CIT,-,-
76,01062000,LIVE REPTILES (NMB),NMB,"CIT
ORF
L&A","CIT
ORF
L&A","CIT
L&A",CRP2NNAUSPP,NEW ZEALAND TREE GECKO (NAULTINUS SPP.),HDS,CIT,CIT,CIT,-,-
77,01062000,LIVE REPTILES (NMB),NMB,"CIT
ORF
L&A","CIT
ORF
L&A","CIT
L&A",CRP2NNIFO,BURMESE PEACOCK SOFTSHELL TURTLE (NILSSONIA FORMOSA),HDS,CIT,CIT,CIT,-,-
78,01062000,LIVE REPTILES (NMB),NMB,"CIT
ORF
L&A","CIT
ORF
L&A","CIT
L&A",CRP2NAPSP,PAPUANA PYTHON (APODORA PAPUANA),HDS,CIT,CIT,CIT,-,-
79,01062000,LIVE REPTILES (NMB),NMB,"CIT
ORF
L&A","CIT
ORF
L&A","CIT
L&A",CRP2NBAKA,RED-CROWNED ROOFED TURTLE (BATAGUR KACHUGA),HDS,CIT,CIT,CIT,-,-
80,01062000,LIVE REPTILES (NMB),NMB,"CIT
ORF
L&A","CIT
ORF
L&A","CIT
L&A",CRP2NBATR,BURMESE ROOFED TURTLE (BATAGUR TRIVITTATA),HDS,CIT,CIT,CIT,-,-
81,01062000,LIVE REPTILES (NMB),NMB,"CIT
ORF
L&A","CIT
ORF
L&A","CIT
L&A",CRP2NCABO,PAINTED TERRAPIN (CALLAGUR BORNEOENSIS),HDS,CIT,CIT,CIT,-,-
82,01062000,LIVE REPTILES (NMB),NMB,"CIT
ORF
L&A","CIT
ORF
L&A","CIT
L&A",CRP2NCAIN,PIG-NOSED TURTLE (CARETTOCHELYS INSCULPTA),HDS,CIT,CIT,CIT,-,-
83,01062000,LIVE REPTILES (NMB),NMB,"CIT
ORF
L&A","CIT
ORF
L&A","CIT
L&A",CRP2NCAPA,PARSON'S GIANT CHAMELEON (CALUMMA PARSONII),HDS,CIT,CIT,CIT,-,-
84,01062000,LIVE REPTILES (NMB),NMB,"CIT
ORF
L&A","CIT
ORF
L&A","CIT
L&A",CRP2NCASP,BOA (CANDOIA SPP.),HDS,CIT,CIT,CIT,-,-
85,01062000,LIVE REPTILES (NMB),NMB,"CIT
ORF
L&A","CIT
ORF
L&A","CIT
L&A",CRP2NCHMC,ROTI ISLAND SNAKE-NECKED TURTLE (CHELODINA MCCORDI),HDS,CIT,CIT,CIT,-,-
86,01062000,LIVE REPTILES (NMB),NMB,"CIT
ORF
L&A","CIT
ORF
L&A","CIT
L&A",CRP2NCHSP,CHAMELEON (CHAMAELEON SPP.),HDS,CIT,CIT,CIT,-,-
87,01062000,LIVE REPTILES (NMB),NMB,"CIT
ORF
L&A","CIT
ORF
L&A","CIT
L&A",CRP2NCLGU,SPOTTED TURTLE (CLEMMYS GUTTATA),HDS,CIT,CIT,CIT,-,-
88,01062000,LIVE REPTILES (NMB),NMB,"CIT
ORF
L&A","CIT
ORF
L&A","CIT
L&A",CRP2NCOCA,EMERALD TREE BOA (CORALLUS CANINUS),HDS,CIT,CIT,CIT,-,-
89,01062000,LIVE REPTILES (NMB),NMB,"CIT
ORF
L&A","CIT
ORF
L&A","CIT
L&A",CRP2NCOSP,LIZARD (CORDYLUS SPP.),HDS,CIT,CIT,CIT,-,-
90,01062000,LIVE REPTILES (NMB),NMB,"CIT
ORF
L&A","CIT
ORF
L&A","CIT
L&A",CRP2NCOZE,PREHENSILE-TAILED SKINK (CORUCIA ZEBRATA),HDS,CIT,CIT,CIT,-,-
91,01062000,LIVE REPTILES (NMB),NMB,"CIT
ORF
L&A","CIT
ORF
L&A","CIT
L&A",CRP2NCUAM,MALAYAN BOX TURTLE (CUORA AMBOINENSIS),HDS,CIT,CIT,CIT,-,-
92,01062000,LIVE REPTILES (NMB),NMB,"CIT
ORF
L&A","CIT
ORF
L&A","CIT
L&A",CRP2NCYDE,ASIAN-LEAF TURTLE (CYCLEMYS DENTATA),HDS,CIT,CIT,CIT,-,-
93,01062000,LIVE REPTILES (NMB),NMB,"CIT
ORF
L&A","CIT
ORF
L&A","CIT
L&A",CRP2NCYSP,CYCLEMYS SPECIES (CYCLEMYS SPP.),HDS,CIT,CIT,CIT,-,-
94,01062000,LIVE REPTILES (NMB),NMB,"CIT
ORF
L&A","CIT
ORF
L&A","CIT
L&A",CRP2NDOSU,MALAYAN SOFT-SHELLED TURTLE (DOGONIA SUBPLANA),HDS,CIT,CIT,CIT,-,-
95,01062000,LIVE REPTILES (NMB),NMB,"CIT
ORF
L&A","CIT
ORF
L&A","CIT
L&A",CRP2NDRGU,GUYANAN CAIMAN LIZARD (DRACAENA GUIANENESIS),HDS,CIT,CIT,CIT,-,-
96,01062000,LIVE REPTILES (NMB),NMB,"CIT
ORF
L&A","CIT
ORF
L&A","CIT
L&A",CRP2NEMBL,BLANDING'S TURTLE (EMYDOIDEA BLANDINGII),HDS,CIT,CIT,CIT,-,-
97,01062000,LIVE REPTILES (NMB),NMB,"CIT
ORF
L&A","CIT
ORF
L&A","CIT
L&A",CRP2NEPCE,RAINBOW BOA (EPICRATES CENCHRIA),HDS,CIT,CIT,CIT,-,-
98,01062000,LIVE REPTILES (NMB),NMB,"CIT
ORF
L&A","CIT
ORF
L&A","CIT
L&A",CRP2NEUSP,ANACONDA (EUNECTES SPP.),HDS,CIT,CIT,CIT,-,-
99,01062000,LIVE REPTILES (NMB),NMB,"CIT
ORF
L&A","CIT
ORF
L&A","CIT
L&A",CRP2NFUPA,PANTHER CHAMELEON (FURCIFER PARDALIS),HDS,CIT,CIT,CIT,-,-
100,01062000,LIVE REPTILES (NMB),NMB,"CIT
ORF
L&A","CIT
ORF
L&A","CIT
L&A",CRP2NGECA,RED-FOOTED TORTOISE (GEOCHELONE CARBONARIA),HDS,CIT,CIT,CIT,-,-
101,01062000,LIVE REPTILES (NMB),NMB,"CIT
ORF
L&A","CIT
ORF
L&A","CIT
L&A",CRP2NGEDE,YELLOW-FOOTED TORTOISE (GEOCHELONE DENTICULATA),HDS,CIT,CIT,CIT,-,-
102,01062000,LIVE REPTILES (NMB),NMB,"CIT
ORF
L&A","CIT
ORF
L&A","CIT
L&A",CRP2NGEEL,STAR TORTOISE (GEOCHELONE ELEGANS),HDS,CIT,CIT,CIT,-,-
103,01062000,LIVE REPTILES (NMB),NMB,"CIT
ORF
L&A","CIT
ORF
L&A","CIT
L&A",CRP2NGEGI,ALDABRA GIANT TORTOISE (GEOCHELONE GIGANTEA),HDS,CIT,CIT,CIT,-,-
104,01062000,LIVE REPTILES (NMB),NMB,"CIT
ORF
L&A","CIT
ORF
L&A","CIT
L&A",CRP2NGEOJAP,RYUKYU BLACK-BREASTED LEAF TURTLE (GEOEMYDA JAPONICA),HDS,CIT,CIT,CIT,-,-
105,01062000,LIVE REPTILES (NMB),NMB,"CIT
ORF
L&A","CIT
ORF
L&A","CIT
L&A",CRP2NGEOSPE,BLACK-BREASTED HILL TURTLE (GEOEMYDA SPENGLERI),HDS,CIT,CIT,CIT,-,-
106,01062000,LIVE REPTILES (NMB),NMB,"CIT
ORF
L&A","CIT
ORF
L&A","CIT
L&A",CRP2NGEPA,LEOPARD TORTOISE (GEOCHELONE PARDALIS),HDS,CIT,CIT,CIT,-,-
107,01062000,LIVE REPTILES (NMB),NMB,"CIT
ORF
L&A","CIT
ORF
L&A","CIT
L&A",CRP2NGEPL,BURMESE STAR TORTOISE (GEOCHELONE PLATYNOTA),HDS,CIT,CIT,CIT,-,-
108,01062000,LIVE REPTILES (NMB),NMB,"CIT
ORF
L&A","CIT
ORF
L&A","CIT
L&A",CRP2NHATH,CROWNED RIVER TURTLE (HARDELLA THURJII),HDS,CIT,CIT,CIT,-,-
109,01062000,LIVE REPTILES (NMB),NMB,"CIT
ORF
L&A","CIT
ORF
L&A","CIT
L&A",CRP2NHEHO,BEADED LIZARD (HELODERMA HORRIDUM),HDS,CIT,CIT,CIT,-,-
110,01062000,LIVE REPTILES (NMB),NMB,"CIT
ORF
L&A","CIT
ORF
L&A","CIT
L&A",CRP2NHESU,GILA MONSTER (HELODERMA SUSPECTUM),HDS,CIT,CIT,CIT,-,-
111,01062000,LIVE REPTILES (NMB),NMB,"CIT
ORF
L&A","CIT
ORF
L&A","CIT
L&A",CRP2NIGIG,COMMON IGUANA (IGUANA IGUANA),HDS,CIT,CIT,CIT,-,-
112,01062000,LIVE REPTILES (NMB),NMB,"CIT
ORF
L&A","CIT
ORF
L&A","CIT
L&A",CRP2NINEL,YELLOW-HEADED TORTOISE (INDOTESTUDO ELONGATA),HDS,CIT,CIT,CIT,-,-
113,01062000,LIVE REPTILES (NMB),NMB,"CIT
ORF
L&A","CIT
ORF
L&A","CIT
L&A",CRP2NINFO,FORSTEN'S TORTOISE (INDOTESTUDO FORSTENII),HDS,CIT,CIT,CIT,-,-
114,01062000,LIVE REPTILES (NMB),NMB,"CIT
ORF
L&A","CIT
ORF
L&A","CIT
L&A",CRP2NLESP,WHITE LIPPED PYTHON (LEIOPYTHON SPP.),HDS,CIT,CIT,CIT,-,-
115,01062000,LIVE REPTILES (NMB),NMB,"CIT
ORF
L&A","CIT
ORF
L&A","CIT
L&A",CRP2NLISP,PYTHON (LIASIS SPP.),HDS,CIT,CIT,CIT,-,-
116,01062000,LIVE REPTILES (NMB),NMB,"CIT
ORF
L&A","CIT
ORF
L&A","CIT
L&A",CRP2NNILE,LEITH'S SOFTSHELL TURTLE (NILSSONIA LEITHII),HDS,CIT,CIT,CIT,-,-
117,01062000,LIVE REPTILES (NMB),NMB,"CIT
ORF
L&A","CIT
ORF
L&A","CIT
L&A",CRP2NOPHA,KING COBRA (OPHIOPHAGUS HANNAH),HDS,CIT,CIT,CIT,-,-
118,01062000,LIVE REPTILES (NMB),NMB,"CIT
ORF
L&A","CIT
ORF
L&A","CIT
L&A",CRP2NORBO,BORNEO RIVER TURTLE (ORLITIA BORNENSIS),HDS,CIT,CIT,CIT,-,-
119,01062000,LIVE REPTILES (NMB),NMB,"CIT
ORF
L&A","CIT
ORF
L&A","CIT
L&A",CRP2NPAPA,DWARF CAIMAN (PALEOSUCHUS PALPEBROSUS),HDS,CIT,CIT,CIT,-,-
120,01062000,LIVE REPTILES (NMB),NMB,"CIT
ORF
L&A","CIT
ORF
L&A","CIT
L&A",CRP2NPAST,WATTLE-NECKED SOFTSHELL TURTLE (PALEA STEINDACHNERI),HDS,CIT,CIT,CIT,-,-
121,01062000,LIVE REPTILES (NMB),NMB,"CIT
ORF
L&A","CIT
ORF
L&A","CIT
L&A",CRP2NPEAX,HUNAN SOFTSHELL TURTLE (PELODISCUS AXENARIA),HDS,CIT,CIT,CIT,-,-
122,01062000,LIVE REPTILES (NMB),NMB,"CIT
ORF
L&A","CIT
ORF
L&A","CIT
L&A",CRP2NPEMA,NORTHERN CHINESE SOFTSHELL TURTLE (PELODISCUS MAACKII),HDS,CIT,CIT,CIT,-,-
123,01062000,LIVE REPTILES (NMB),NMB,"CIT
ORF
L&A","CIT
ORF
L&A","CIT
L&A",CRP2NPEPA,LESSER CHINESE SOFTSHELL TURTLE (PELODISCUS PARVIFORMIS),HDS,CIT,CIT,CIT,-,-
124,01062000,LIVE REPTILES (NMB),NMB,"CIT
ORF
L&A","CIT
ORF
L&A","CIT
L&A",CRP2NPHMA,MADAGASCAR DAY GECKO (PHELSUMA MADAGASCARIENSIS),HDS,CIT,CIT,CIT,-,-
125,01062000,LIVE REPTILES (NMB),NMB,"CIT
ORF
L&A","CIT
ORF
L&A","CIT
L&A",CRP2NPHSP,DAY GECKO (PHELSUMA SPP.),HDS,CIT,CIT,CIT,-,-
126,01062000,LIVE REPTILES (NMB),NMB,"CIT
ORF
L&A","CIT
ORF
L&A","CIT
L&A",CRP2NPLNE,BIG-HEADED TURTLE (PLATYSTERNON MEGACEPHALUM),HDS,CIT,CIT,CIT,-,-
127,01062000,LIVE REPTILES (NMB),NMB,"CIT
ORF
L&A","CIT
ORF
L&A","CIT
L&A",CRP2NPOUN,YELLOW-SPOTTED RIVER TURTLE (PODOCNEMIS UNIFILIS),HDS,CIT,CIT,CIT,-,-
128,01062000,LIVE REPTILES (NMB),NMB,"CIT
ORF
L&A","CIT
ORF
L&A","CIT
L&A",CRP2NPTMU,RAT SNAKE (PTYAS MUCOSUS),HDS,CIT,CIT,CIT,-,-
129,01062000,LIVE REPTILES (NMB),NMB,"CIT
ORF
L&A","CIT
ORF
L&A","CIT
L&A",CRP2NPYBE,BORNEO SHORT-TAILED PYTHON (PYTHON BREITENSTEINI),HDS,CIT,CIT,CIT,-,-
130,01062000,LIVE REPTILES (NMB),NMB,"CIT
ORF
L&A","CIT
ORF
L&A","CIT
L&A",CRP2NPYBI,BURMESE PYTHON (PYTHON BIVITTATUS),HDS,CIT,CIT,CIT,-,-
